title,link,exp,company,salary,cities,tags
Senior Python Engineer,https://jobs.dou.ua/companies/verybusy-recruiting/vacancies/279232/?from=list_hot,5plus,VeryBusy,,віддалено,"Python,Flask,Git,SQL,API,Docker,Linux,JS,Networking,Asyncio,Terraform,Ansible"
Senior Python Engineer (Django),https://jobs.dou.ua/companies/adwisely/vacancies/129357/?from=list_hot,5plus, Adwisely,$3000–4000,віддалено,"Python,Django,SQL,API,Docker,AWS,Linux,PostgreSQL,AI,JS,Kubernetes,Ansible"
Senior Python Developer,https://jobs.dou.ua/companies/scalr-inc/vacancies/243504/,3-5, Scalr,,"Львів, віддалено","Python,Flask,Git,SQL,API,Docker,Linux,AI,JS,React,OOP,Networking,Asyncio,Kubernetes,Terraform,Ansible"
Back-End Team Lead,https://jobs.dou.ua/companies/speedlinehub/vacancies/276568/,3-5,SpeedlineHub Recruiting,,"за кордоном, віддалено","Python,Git,SQL,Docker,AWS,PostgreSQL,AI,NoSQL,Microservice,MongoDB,Kubernetes,CI/CD,Jenkins"
Python Developer,https://jobs.dou.ua/companies/artjoker/vacancies/276795/,3-5, ARTJOKER,$2500–3500,віддалено,"Python,Django,API,Docker,AWS,AI,Machine Learning,Deep Learning"
Full-stack Developer (Python/React.js),https://jobs.dou.ua/companies/scalr-inc/vacancies/276567/,3-5, Scalr,,"Львів, віддалено","Python,Flask,Git,SQL,REST,API,Docker,AI,JS,React,HTML,CSS,Terraform,TypeScript"
Python Developer,https://jobs.dou.ua/companies/scalr-inc/vacancies/272997/,3-5, Scalr,,"Львів, віддалено","Python,Flask,Git,SQL,API,Docker,Linux,AI,JS,React,OOP,Networking,Asyncio,Kubernetes,Terraform,Ansible"
AI Researcher,https://jobs.dou.ua/companies/bitmedia-labs/vacancies/276870/,3-5, Bitmedia Labs,,"за кордоном, віддалено","Python,AI,Artificial Intelligence,Machine Learning,Deep Learning,TensorFlow,PyTorch,Data Analysis,Big Data"
AI Specialist — Web Developer (Python) for an Online News Media,https://jobs.dou.ua/companies/flexmade/vacancies/268882/,3-5, FlexMade,,"за кордоном, віддалено","Python,Django,Flask,Git,API,AI,React,Machine Learning,TensorFlow,PyTorch"
Back-end developer,https://jobs.dou.ua/companies/uvik-software/vacancies/277099/,3-5, Uvik Software,,"Чернівці, Івано-Франківськ, за кордоном, віддалено","Python,Django,SQL,REST,API,AWS,PostgreSQL,AI,React,OOP,NoSQL,MongoDB,GraphQL,Terraform"
